 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
mine 3.12674782072e-102 1.23750240913e-101 1.92284357599e-102 3.7037037037e-102 6.30438719765e-35 1.18970386533e-102 1.25e-101 3.22580645159e-102 0.111353413461 1.20384996597e-101 3.22580596757e-102 4.45295354932e-102 3.33333333333e-102 3.83554984387e-102 3.4248452498e-102 6.26597790841e-102 2.06272165123e-102 1.50617523641e-102 0.50095828037 1.51515151516e-102 7.06002688833e-102 5.42642731946e-102 8.33333141585e-102 4.68897175214e-102 7.14285714286e-102 1.04166666667e-102 8.3333331216e-102 4.0934585547e-102 3.70494349996e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 2.83494387189e-102 1.60547107969e-102 2.87550224428e-102 6.30895125786e-102 5.88536425029e-102 3.78045441899e-102 2.46265589941e-102 1.28577151604e-102 2.27272727273e-102 1.58714149541e-102 0.0388490018338 2.56410265487e-102 3.87440968381e-102 3.99852374242e-102 2.57722135614e-102 4.12321640099e-102 3.21174663151e-102 3.99321011474e-102 0.0400000046495 2.83315058557e-102 1.49562955918e-102 2.94028636161e-102 2.80024314727e-102 8.33333332788e-102 7.7976991999e-102 2.56374383568e-102 2.24388726657e-102 1.25406134866e-101 3.99999997052e-102 3.03297459744e-102 6.24023883818e-102 4.57221972724e-102 5.27750040554e-102 4.54179407942e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 5.86455711063e-36 4.0751752611e-102 4.75616326099e-102 5.57123650441e-102 4.76190500435e-102 3.69419137542e-102 4.14840201143e-102 2.12202561618e-101 6.86738553052e-102 2.49959322081e-102
minutes 3.12674782072e-102 1.23750240913e-101 1.92284357599e-102 3.7037037037e-102 2.32781119564e-102 1.18970386533e-102 1.25e-101 3.22580645159e-102 3.71178044869e-102 1.20384996597e-101 3.22580596757e-102 4.45295354932e-102 3.33333333333e-102 0.0383554984387 3.4248452498e-102 6.26597790841e-102 2.06272165123e-102 1.50617523641e-102 8.34930467284e-102 1.51515151516e-102 7.06002688833e-102 5.42642731946e-102 8.33333141585e-102 4.68897175214e-102 7.14285714286e-102 1.04166666667e-102 8.3333331216e-102 4.0934585547e-102 3.70494349996e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 2.83494387189e-102 1.60547107969e-102 2.87550224428e-102 6.30895125786e-102 5.88536425029e-102 3.78045441899e-102 2.46265589941e-102 1.28577151604e-102 2.27272727273e-102 1.58714149541e-102 3.88490018338e-102 2.56410265487e-102 3.87440968381e-102 3.99852374242e-102 2.57722135614e-102 4.12321640099e-102 3.21174663151e-102 3.99321011474e-102 4.00000046495e-102 2.83315058557e-102 1.49562955918e-102 2.94028636161e-102 2.80024314727e-102 8.33333332788e-102 7.7976991999e-102 2.56374383568e-102 2.24388726657e-102 1.25406134866e-101 3.99999997052e-102 3.03297459744e-102 6.24023883818e-102 4.57221972724e-102 5.27750040554e-102 4.54179407942e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 4.75564221664e-102 4.0751752611e-102 4.75616326099e-102 5.57123650441e-102 4.76190500435e-102 3.69419137542e-102 4.14840201143e-102 2.12202557625e-101 6.86738553052e-102 2.49959322081e-102
misplaced 3.12674782072e-102 1.23750240913e-101 1.92284357599e-102 3.7037037037e-102 2.32781119564e-102 1.18970386533e-102 1.25e-101 3.22580645159e-102 3.71178044869e-102 1.20384996597e-101 3.22580596757e-102 4.45295354932e-102 3.33333333333e-102 3.83554984387e-102 3.4248452498e-102 6.26597790841e-102 2.06272165123e-102 1.50617523641e-102 8.34930467284e-102 1.51515151516e-102 7.06002688833e-102 5.42642731946e-102 8.33333141585e-102 4.68897175214e-102 7.14285714286e-102 0.0104166666667 8.3333331216e-102 4.0934585547e-102 3.70494349996e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 2.83494387189e-102 1.60547107969e-102 2.87550224428e-102 6.30895125786e-102 5.88536425029e-102 3.78045441899e-102 2.46265589941e-102 1.28577151604e-102 2.27272727273e-102 1.58714149541e-102 3.88490018338e-102 2.56410265487e-102 3.87440968381e-102 3.99852374242e-102 2.57722135614e-102 4.12321640099e-102 3.21174663151e-102 3.99321011474e-102 4.00000046495e-102 2.83315058557e-102 1.49562955918e-102 2.94028636161e-102 2.80024314727e-102 8.33333332788e-102 7.7976991999e-102 2.56374383568e-102 2.24388726657e-102 1.25406134866e-101 3.99999997052e-102 3.03297459744e-102 6.24023883818e-102 4.57221972724e-102 5.27750040554e-102 4.54179407942e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 4.75564221664e-102 4.0751752611e-102 4.75616326099e-102 5.57123650441e-102 4.76190500435e-102 3.69419137542e-102 4.14840201143e-102 2.12202557625e-101 6.86738553052e-102 2.49959322081e-102
misuse 3.12674782072e-102 1.23750240913e-101 1.92284357599e-102 3.7037037037e-102 2.32781119564e-102 1.19014098585e-102 1.25e-101 3.22580645159e-102 3.71178044869e-102 1.20384996597e-101 3.22580596757e-102 4.45295354932e-102 3.33333333333e-102 3.83554984387e-102 3.4248452498e-102 6.26597790841e-102 2.06272165123e-102 1.50617523641e-102 8.34930467284e-102 1.51515151516e-102 7.09065767405e-102 5.42642731946e-102 8.33333141585e-102 4.68897175214e-102 7.14285714286e-102 1.04166666667e-102 8.3333331216e-102 4.0934585547e-102 3.71235435411e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 2.83494387189e-102 1.60547107969e-102 2.87550224428e-102 6.30895125786e-102 5.88536425029e-102 3.78045441899e-102 2.46265589941e-102 1.28577151604e-102 2.27272727273e-102 1.58714149541e-102 3.88504772597e-102 2.56410265487e-102 3.87440968381e-102 3.99852374242e-102 2.57722135614e-102 4.12321640099e-102 3.21174663151e-102 3.99321011474e-102 4.00000046495e-102 2.83315058557e-102 1.49562955918e-102 2.94028636161e-102 2.80024314727e-102 8.33333332788e-102 7.7976991999e-102 2.56374383568e-102 2.24388726657e-102 1.25406134866e-101 3.99999997052e-102 0.0303297459744 6.24023883818e-102 4.57221972724e-102 5.27750040554e-102 4.54179407942e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 4.75564221664e-102 4.0751752611e-102 4.75616326099e-102 5.57123650441e-102 4.76190500435e-102 3.69419137542e-102 4.14840201143e-102 2.12202557625e-101 6.86738553052e-102 2.49959322081e-102
modern 3.12674782072e-102 1.23750240913e-101 1.92284357599e-102 3.7037037037e-102 2.32781119564e-102 1.18970386533e-102 1.25e-101 3.22580645159e-102 3.71178044869e-102 1.20384996597e-101 3.22580596757e-102 4.45295354932e-102 3.33333333333e-102 3.83554984387e-102 3.44134856526e-102 6.26597790841e-102 2.06272165123e-102 1.50617523641e-102 8.34930467284e-102 1.51515151516e-102 7.06002688833e-102 5.42642731946e-102 8.33333141585e-102 4.68897175214e-102 7.14285714286e-102 1.04166666667e-102 8.3333331216e-102 4.0934585547e-102 3.70494349996e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 2.83494387189e-102 1.60547107969e-102 2.87550224428e-102 6.30895125786e-102 5.88536425029e-102 3.78045441899e-102 2.46265589941e-102 1.28577151604e-102 2.27272727273e-102 1.58714149541e-102 3.88490018338e-102 2.56410265487e-102 3.87440968381e-102 3.99852374242e-102 2.57722135614e-102 4.12321640099e-102 3.21174663151e-102 3.99321011474e-102 4.00000046495e-102 2.83315058557e-102 1.49562955918e-102 2.94028636161e-102 2.80024314727e-102 8.33333332788e-102 9.22225871009e-101 2.56374383568e-102 2.24388726657e-102 1.25406134866e-101 3.99999997052e-102 3.03297459744e-102 6.24023883818e-102 4.57221972724e-102 5.27750040554e-102 4.54179407942e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 4.75564221664e-102 4.0751752611e-102 4.75616326099e-102 5.57123650441e-102 4.76190500435e-102 3.69419137542e-102 0.0414840201143 2.12202557625e-101 6.86738553052e-102 2.49959322081e-102
monsters 0.0312674782072 1.23750240913e-101 1.92284357599e-102 3.7037037037e-102 2.32781119564e-102 1.18970386533e-102 1.25e-101 3.22580645159e-102 3.71178044869e-102 1.20384996597e-101 3.22580596757e-102 4.45295354932e-102 3.33333333333e-102 3.83554984387e-102 3.4248452498e-102 6.26597790841e-102 2.06272165123e-102 1.50617523641e-102 8.34930467284e-102 1.51515151516e-102 4.9751421873e-42 5.42642731946e-102 8.33333141585e-102 4.68897175214e-102 7.14285714286e-102 1.04166666667e-102 8.3333331216e-102 4.0934585547e-102 3.70494349996e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 2.83494387189e-102 1.60547107969e-102 2.87550224428e-102 6.30895125786e-102 5.88536425029e-102 3.78045441899e-102 2.46265589941e-102 1.28577151604e-102 2.27272727273e-102 1.58714149541e-102 3.88490018338e-102 2.56410265487e-102 3.87440968381e-102 3.99852374242e-102 2.57722135614e-102 4.12321640099e-102 3.21174663151e-102 3.99321011474e-102 4.00000046495e-102 2.83315058557e-102 1.49562955918e-102 2.94028636161e-102 2.80024314727e-102 8.33333332788e-102 7.7976991999e-102 2.56374383568e-102 2.24388726657e-102 1.25406134866e-101 3.99999997052e-102 3.03297459744e-102 6.24023883818e-102 4.57221972724e-102 5.27750040554e-102 4.54179407942e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 4.75564221664e-102 4.0751752611e-102 4.75616326099e-102 5.57123650441e-102 4.76190500435e-102 3.69419137542e-102 4.14840201143e-102 2.12202557625e-101 6.86738553052e-102 2.49959322081e-102
moon 3.12674782072e-102 1.23750240913e-101 1.92284357599e-102 3.7037037037e-102 2.32781119564e-102 1.18970386533e-102 1.25e-101 3.22580645159e-102 3.71178044869e-102 1.20384996597e-101 3.22580596757e-102 4.45295354932e-102 3.33333333333e-102 3.83554984387e-102 3.4248452498e-102 6.26597790841e-102 2.06272165123e-102 1.50617523641e-102 8.34930467284e-102 1.51515151516e-102 7.06002688833e-102 5.42642731946e-102 8.33333141585e-102 4.68897175214e-102 7.14285714286e-102 1.04166666667e-102 8.3333331216e-102 4.0934585547e-102 3.70494349996e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 2.83494387189e-102 1.60547107969e-102 2.87550224428e-102 6.30895125786e-102 5.88536425029e-102 3.78045441899e-102 2.46265589941e-102 1.28577151604e-102 2.27272727273e-102 1.58714149541e-102 3.88490018338e-102 2.56410265487e-102 3.87440968381e-102 3.99852374242e-102 2.57722135614e-102 4.12321640099e-102 3.21174663151e-102 3.99321011474e-102 4.00000046495e-102 2.83315058557e-102 1.49562955918e-102 2.94028636161e-102 2.80024314727e-102 8.33333332788e-102 7.7976991999e-102 2.56374383568e-102 2.24388726657e-102 1.25406134866e-101 3.99999997052e-102 3.03297459744e-102 6.24023883818e-102 4.57221972724e-102 0.0527750040554 4.54179407942e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 4.75564221664e-102 4.0751752611e-102 4.75616326099e-102 5.57123650441e-102 4.76190500435e-102 3.69419137542e-102 4.14840201143e-102 2.12202557625e-101 6.86738553052e-102 2.49959322081e-102
more 3.12674782072e-102 1.23750240913e-101 1.92284357599e-102 3.7037037037e-102 2.32781119564e-102 1.18970386533e-102 1.25e-101 0.0322580645159 3.71178044869e-102 1.20384996597e-101 3.22580596757e-102 4.45295354932e-102 3.33333333333e-102 3.83554984387e-102 3.4248452498e-102 6.26597790841e-102 2.06272165123e-102 1.50617523641e-102 9.83864673434e-25 1.51515151516e-102 7.06002688833e-102 5.42642731946e-102 8.33333141585e-102 4.68897175214e-102 7.14285714286e-102 1.04166666667e-102 8.3333331216e-102 4.0934585547e-102 3.70494349996e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 2.83494387189e-102 1.60547107969e-102 2.87550224428e-102 6.30895125786e-102 5.88536425029e-102 3.78045441899e-102 2.46265589941e-102 1.28577151604e-102 2.27272727273e-102 1.58714149541e-102 3.88490018338e-102 2.56410265487e-102 3.87440968381e-102 6.69120881256e-78 2.57722135614e-102 4.12321640099e-102 3.21174663151e-102 3.99321011474e-102 4.00000046495e-102 2.83315058557e-102 1.49562955918e-102 0.0294028636161 2.80024314727e-102 8.33333332788e-102 7.7976991999e-102 2.56374383568e-102 2.24388726657e-102 1.25406134866e-101 3.99999997052e-102 3.03297459744e-102 2.90036290075e-21 0.137166591817 5.27750040554e-102 4.54179407942e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 4.75564221664e-102 4.0751752611e-102 4.75616326099e-102 5.57123650441e-102 4.76190500435e-102 3.69419137542e-102 4.14840201143e-102 2.12202557625e-101 6.86738553052e-102 2.49959322081e-102
morning 3.12674782072e-102 1.23750240913e-101 1.92284357599e-102 3.7037037037e-102 2.32781119564e-102 1.18970386533e-102 1.25e-101 3.22580645159e-102 3.71178044869e-102 1.20384996597e-101 3.22580596757e-102 4.45295354932e-102 3.33333333333e-102 3.83554984387e-102 3.4248452498e-102 6.26597790841e-102 2.06272165123e-102 1.50617523641e-102 8.34930467284e-102 1.51515151516e-102 7.06002688833e-102 5.42642731946e-102 8.33333141585e-102 4.68897175214e-102 7.14285714286e-102 1.04166666667e-102 8.3333331216e-102 4.0934585547e-102 3.70494349996e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 2.83494387189e-102 1.60547107969e-102 2.87550224428e-102 6.30895125786e-102 5.88536425029e-102 3.78045441899e-102 2.46265589941e-102 1.28577151604e-102 2.27272727273e-102 1.58714149541e-102 3.88490018338e-102 2.56410265487e-102 3.87440968381e-102 3.99852374242e-102 2.57722135614e-102 4.12321640099e-102 0.0321174663151 3.99321011474e-102 4.00000046495e-102 2.83315058557e-102 1.49562955918e-102 2.94028636161e-102 2.80024314727e-102 8.33333332788e-102 7.7976991999e-102 2.56374383568e-102 2.24388726657e-102 1.25406134866e-101 3.99999997052e-102 3.03297459744e-102 6.24023883818e-102 4.57221972724e-102 5.27750040554e-102 4.54179407942e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 4.75564221664e-102 4.0751752611e-102 4.75616326099e-102 5.57123650441e-102 4.76190500435e-102 3.69419137542e-102 4.14840201143e-102 2.12202557625e-101 6.86738553052e-102 2.49959322081e-102
morrow 3.12674782072e-102 1.23750240913e-101 1.92284357599e-102 3.7037037037e-102 2.32781119564e-102 1.18970386533e-102 1.25e-101 3.22580645159e-102 3.71178044869e-102 1.20384996597e-101 3.22580596757e-102 4.45295354932e-102 3.33333333333e-102 3.83554984387e-102 3.4248452498e-102 6.26597790841e-102 2.06272165123e-102 1.50617523641e-102 8.34930467284e-102 1.51515151516e-102 7.06002688833e-102 5.42642731946e-102 8.33333141585e-102 4.68897175214e-102 7.14285714286e-102 0.0104166666667 8.3333331216e-102 4.0934585547e-102 3.70494349996e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 2.83494387189e-102 1.60547107969e-102 2.87550224428e-102 6.30895125786e-102 5.88536425029e-102 3.78045441899e-102 2.46265589941e-102 1.28577151604e-102 2.27272727273e-102 1.58714149541e-102 3.88490018338e-102 2.56410265487e-102 3.87440968381e-102 3.99852374242e-102 2.57722135614e-102 4.12321640099e-102 3.21174663151e-102 3.99321011474e-102 4.00000046495e-102 2.83315058557e-102 1.49562955918e-102 2.94028636161e-102 2.80024314727e-102 8.33333332788e-102 7.7976991999e-102 2.56374383568e-102 2.24388726657e-102 1.25406134866e-101 3.99999997052e-102 3.03297459744e-102 6.24023883818e-102 4.57221972724e-102 5.27750040554e-102 4.54179407942e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 4.75564221664e-102 4.0751752611e-102 4.75616326099e-102 5.57123650441e-102 4.76190500435e-102 3.69419137542e-102 4.14840201143e-102 2.12202557625e-101 6.86738553052e-102 2.49959322081e-102
mortal 3.12674782072e-102 1.23750240913e-101 1.92284357599e-102 3.7037037037e-102 2.32781119564e-102 1.18970386533e-102 1.25e-101 3.22580645159e-102 3.71178044869e-102 1.20384996597e-101 3.22580596757e-102 4.45295354932e-102 0.0666666666667 3.83554984387e-102 3.4248452498e-102 6.26597790841e-102 2.06272165123e-102 1.50617523641e-102 8.34930467284e-102 1.51515151516e-102 7.06002688833e-102 5.42642731946e-102 8.33333141585e-102 4.68897175214e-102 7.14285714286e-102 1.04166666667e-102 8.3333331216e-102 4.0934585547e-102 3.70494349996e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 2.83494387189e-102 1.60547107969e-102 2.87550224428e-102 6.30895125786e-102 5.88536425029e-102 5.77846144577e-60 2.46265589941e-102 1.28577151604e-102 2.27272727273e-102 1.58714149541e-102 3.88490018338e-102 2.56410265487e-102 3.87440968381e-102 3.99852374242e-102 2.57722135614e-102 4.12321640099e-102 3.21174663151e-102 3.99321011474e-102 4.00000046495e-102 2.83315058557e-102 1.49562955918e-102 2.94028636161e-102 2.80024314727e-102 8.33333332788e-102 7.7976991999e-102 2.56374383568e-102 2.24388726657e-102 1.25406134866e-101 3.99999997052e-102 3.03297459744e-102 6.24023883818e-102 4.57221972724e-102 5.27750040554e-102 4.54179407942e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 4.75564221664e-102 4.0751752611e-102 4.75616326099e-102 5.57123650441e-102 4.76190500435e-102 3.69419137542e-102 4.14840201143e-102 2.12202557625e-101 6.86738553052e-102 2.49959322081e-102
most 3.12674782072e-102 1.23750240913e-101 1.92284357599e-102 3.7037037037e-102 2.32781119564e-102 1.18970386533e-102 1.25e-101 3.22580645159e-102 3.71178044869e-102 1.20384996597e-101 3.22580596757e-102 4.45295354932e-102 3.33333333333e-102 3.83554984387e-102 3.4248452498e-102 6.26597790841e-102 2.06272165123e-102 1.5061753811e-102 8.34930467284e-102 1.51515151516e-102 7.06002688833e-102 5.42642731946e-102 8.33333141585e-102 4.68897175214e-102 7.14285714286e-102 1.04166666667e-102 8.3333331216e-102 4.0934585547e-102 3.70494349996e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 2.83494387189e-102 1.60547107969e-102 2.87550224428e-102 6.30895125786e-102 5.88536425029e-102 3.78045441899e-102 2.46265589941e-102 1.28577151604e-102 2.27272727273e-102 1.58714149541e-102 3.88490018338e-102 2.56410265487e-102 3.87440968381e-102 3.99852374242e-102 2.57722135614e-102 4.12321640099e-102 3.21174663151e-102 3.99321011474e-102 4.00000046495e-102 2.83315058557e-102 0.0149562955918 2.94028636161e-102 2.80024314727e-102 8.33333332788e-102 7.7976991999e-102 2.56374383568e-102 2.24388726657e-102 1.25406134866e-101 3.99999997052e-102 3.03297459744e-102 6.24023883818e-102 4.57221972724e-102 5.27750040554e-102 4.54179407942e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 4.75564221664e-102 4.0751752611e-102 4.75616326099e-102 5.57123650441e-102 4.76190500435e-102 3.69419137542e-102 4.14840201143e-102 2.12202557625e-101 3.68400593038e-25 2.49959322081e-102
mounted 3.12674782072e-102 1.23750240913e-101 1.92284357599e-102 3.7037037037e-102 2.32781119564e-102 1.18970386533e-102 1.25e-101 3.22580645159e-102 3.71178044869e-102 1.20384996597e-101 3.22580596757e-102 4.45295354932e-102 3.33333333333e-102 3.83554984387e-102 3.4248452498e-102 6.26597790841e-102 2.06272165123e-102 1.50617523641e-102 8.34930467284e-102 1.51515151516e-102 7.06002688833e-102 5.42642731946e-102 8.33333141585e-102 4.68897175214e-102 7.14285714286e-102 1.04166666667e-102 8.3333331216e-102 4.0934585547e-102 3.70494349996e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 2.83494387189e-102 1.60547107969e-102 2.87550224428e-102 6.30895125786e-102 5.88536425029e-102 3.78045441899e-102 2.46265589941e-102 1.28577151604e-102 2.27272727273e-102 1.58714149541e-102 3.88490018338e-102 2.56410265487e-102 3.87440968381e-102 3.99852374242e-102 2.57722135614e-102 4.12321640099e-102 3.21174663151e-102 3.99321011474e-102 4.00000046495e-102 2.83315058557e-102 1.49562955918e-102 2.94028636161e-102 2.80024314727e-102 8.33333332788e-102 7.7976991999e-102 0.0256374383568 2.24388726657e-102 1.25406134866e-101 3.99999997052e-102 3.03297459744e-102 6.24023883818e-102 4.57221972724e-102 5.27750040554e-102 4.54179407942e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 4.75564221664e-102 4.0751752611e-102 4.75616326099e-102 5.57123650441e-102 4.76190500435e-102 3.69419137542e-102 4.14840201143e-102 2.12202557625e-101 6.86738553052e-102 2.49959322081e-102
much 3.12674782072e-102 1.23750240913e-101 1.92284357599e-102 3.7037037037e-102 2.32781119564e-102 1.18970386533e-102 1.25e-101 3.22580645159e-102 3.71178044869e-102 1.20384996597e-101 3.22580596757e-102 4.45295354932e-102 3.33333333333e-102 3.83554984387e-102 3.4248452498e-102 6.26597790841e-102 2.06272165123e-102 1.50617523641e-102 8.34930467284e-102 1.51515151516e-102 7.06002688833e-102 5.42642731946e-102 8.33333141585e-102 4.68897175214e-102 7.14285714286e-102 1.04166666667e-102 8.3333331216e-102 4.0934585547e-102 3.70494349996e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 2.83494387189e-102 1.60547107969e-102 2.87550224428e-102 6.30895125786e-102 5.88536425029e-102 3.78045441899e-102 2.46265589941e-102 1.28577151604e-102 2.27272727273e-102 1.58714149541e-102 3.88490018338e-102 2.56410265487e-102 3.87440968381e-102 3.99852374242e-102 2.57722135614e-102 4.12321640099e-102 3.21174663151e-102 3.99321011474e-102 4.00000046495e-102 2.83315058557e-102 1.49562955918e-102 2.94028636161e-102 2.80024314727e-102 8.33333332788e-102 7.7976991999e-102 2.56374383568e-102 2.24388726657e-102 1.25406134866e-101 0.0399999997052 3.03297459744e-102 6.24023883818e-102 4.57221972724e-102 5.27750040554e-102 4.54179407942e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 4.75564221664e-102 4.0751752611e-102 4.75616326099e-102 5.57123650441e-102 4.76190500435e-102 3.69419137542e-102 4.14840201143e-102 2.12202557625e-101 6.86738553052e-102 2.49959322081e-102
